layer,metric,feature,roc_auc,average_precision,n_samples,positive_rate_answer_changed
0,cosine_distance,cosine_distance_L0,0.5033566058002148,0.6138074466742452,250,0.608
0,l2_distance,l2_distance_L0,0.5,0.6282915943777723,250,0.608
0,relative_norm_difference,relative_norm_difference_L0,0.5,0.6282915943777723,250,0.608
1,cosine_distance,cosine_distance_L1,0.475093984962406,0.5966822458126351,250,0.608
1,l2_distance,l2_distance_L1,0.5,0.6282915943777723,250,0.608
1,relative_norm_difference,relative_norm_difference_L1,0.5,0.6282915943777723,250,0.608
2,cosine_distance,cosine_distance_L2,0.5513560687432868,0.6486341843440194,250,0.608
2,l2_distance,l2_distance_L2,0.5,0.6282915943777723,250,0.608
2,relative_norm_difference,relative_norm_difference_L2,0.5,0.6282915943777723,250,0.608
3,cosine_distance,cosine_distance_L3,0.47636949516648763,0.5801344137204164,250,0.608
3,l2_distance,l2_distance_L3,0.5,0.6282915943777723,250,0.608
3,relative_norm_difference,relative_norm_difference_L3,0.5,0.6282915943777723,250,0.608
4,cosine_distance,cosine_distance_L4,0.466031149301826,0.6028707175123746,250,0.608
4,l2_distance,l2_distance_L4,0.5,0.6282915943777723,250,0.608
4,relative_norm_difference,relative_norm_difference_L4,0.5,0.6282915943777723,250,0.608
5,cosine_distance,cosine_distance_L5,0.4777792696025779,0.6002826909941182,250,0.608
5,l2_distance,l2_distance_L5,0.5,0.6282915943777723,250,0.608
5,relative_norm_difference,relative_norm_difference_L5,0.5,0.6282915943777723,250,0.608
6,cosine_distance,cosine_distance_L6,0.5707572502685284,0.6580980342125828,250,0.608
6,l2_distance,l2_distance_L6,0.5,0.6282915943777723,250,0.608
6,relative_norm_difference,relative_norm_difference_L6,0.5,0.6282915943777723,250,0.608
7,cosine_distance,cosine_distance_L7,0.543233082706767,0.6528516539329523,250,0.608
7,l2_distance,l2_distance_L7,0.5,0.6282915943777723,250,0.608
7,relative_norm_difference,relative_norm_difference_L7,0.5,0.6282915943777723,250,0.608
8,cosine_distance,cosine_distance_L8,0.6531954887218046,0.7491574065897961,250,0.608
8,l2_distance,l2_distance_L8,0.6602443609022557,0.7488006114099339,250,0.608
8,relative_norm_difference,relative_norm_difference_L8,0.6051288936627283,0.6988367544236523,250,0.608
9,cosine_distance,cosine_distance_L9,0.6502416756176155,0.7561470660902573,250,0.608
9,l2_distance,l2_distance_L9,0.6425886143931256,0.7636480850584227,250,0.608
9,relative_norm_difference,relative_norm_difference_L9,0.6045247046186896,0.7432489222281634,250,0.608
10,cosine_distance,cosine_distance_L10,0.6838077336197637,0.7633043270736436,250,0.608
10,l2_distance,l2_distance_L10,0.6875671321160043,0.7909918684423294,250,0.608
10,relative_norm_difference,relative_norm_difference_L10,0.6119092373791621,0.7457675920002795,250,0.608
11,cosine_distance,cosine_distance_L11,0.6501745435016112,0.7515977437783151,250,0.608
11,l2_distance,l2_distance_L11,0.6665547798066596,0.7710042009915196,250,0.608
11,relative_norm_difference,relative_norm_difference_L11,0.6035177228786252,0.685885840242836,250,0.608
12,cosine_distance,cosine_distance_L12,0.6490332975295381,0.7453714025653836,250,0.608
