sample_id,layer,condition,random_seed,clean_norm,random_norm,relative_norm_error,max_token_relative_norm_error,mean_token_relative_norm_error,norm_match_policy,target_shape
mgsm_0001,20,random_norm_matched_patch_L20,2000014,10846.0859375,10846.4853515625,3.682564058606972e-05,1.7881397695873602e-07,3.6649947077194156e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 80, 1536]"
mgsm_0001,22,random_norm_matched_patch_L22,2200014,10851.6552734375,10852.0517578125,3.653676466948852e-05,2.3122656500618177e-07,5.007449388472196e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 80, 1536]"
mgsm_0003,20,random_norm_matched_patch_L20,2000016,10844.775390625,10845.171875,3.655994344915151e-05,2.1199002731009386e-07,5.425337690212473e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 83, 1536]"
mgsm_0003,22,random_norm_matched_patch_L22,2200016,10849.83984375,10850.1982421875,3.3032601647705775e-05,1.7652651251864881e-07,4.721491464465544e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 83, 1536]"
mgsm_0014,20,random_norm_matched_patch_L20,2000027,10849.6865234375,10850.1630859375,4.392408010780121e-05,2.1839704800186155e-07,5.1963237268637386e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 103, 1536]"
mgsm_0014,22,random_norm_matched_patch_L22,2200027,10859.693359375,10860.17578125,4.442315809806295e-05,2.2981350866757566e-07,4.404367714982982e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 103, 1536]"
mgsm_0019,20,random_norm_matched_patch_L20,2000032,10858.1884765625,10858.779296875,5.441242006208412e-05,2.1943310457572807e-07,4.426418698244561e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 129, 1536]"
mgsm_0019,22,random_norm_matched_patch_L22,2200032,10873.095703125,10873.751953125,6.035539628437092e-05,1.8652143296549184e-07,5.0798888651115703e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 129, 1536]"
mgsm_0028,20,random_norm_matched_patch_L20,2000041,10850.3935546875,10850.8583984375,4.284118798614286e-05,2.0187827942663716e-07,5.0844970900243425e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 103, 1536]"
mgsm_0028,22,random_norm_matched_patch_L22,2200041,10860.89453125,10861.400390625,4.65762164934475e-05,1.9879942669831507e-07,5.24410523894403e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 103, 1536]"
mgsm_0035,20,random_norm_matched_patch_L20,2000048,10847.8798828125,10848.310546875,3.970029786026197e-05,2.1199002731009386e-07,5.16693745566954e-08,per-token hidden-vector norm matched to same-sample clean state,"[1, 95, 1536]"
