feature,layer,metric,roc_auc,average_precision,n_samples,analysis_type,feature_set,n_features,accuracy,balanced_accuracy,bucket,positive_rate
cosine_L0,0,cosine_distance,0.4992869269949066,0.6283097622998789,250,,,,,,,
l2_L0,0,l2_distance,0.5,0.6410544385740962,250,,,,,,,
relative_norm_L0,0,relative_norm_difference,0.5,0.6410544385740962,250,,,,,,,
cosine_L1,1,cosine_distance,0.47701188455008486,0.6086447187338674,250,,,,,,,
l2_L1,1,l2_distance,0.5,0.6410544385740962,250,,,,,,,
relative_norm_L1,1,relative_norm_difference,0.5,0.6410544385740962,250,,,,,,,
cosine_L2,2,cosine_distance,0.5430220713073005,0.6549948686392353,250,,,,,,,
l2_L2,2,l2_distance,0.5,0.6410544385740962,250,,,,,,,
relative_norm_L2,2,relative_norm_difference,0.5,0.6410544385740962,250,,,,,,,
cosine_L3,3,cosine_distance,0.461188455008489,0.5841302384404728,250,,,,,,,
l2_L3,3,l2_distance,0.5,0.6410544385740962,250,,,,,,,
relative_norm_L3,3,relative_norm_difference,0.5,0.6410544385740962,250,,,,,,,
cosine_L4,4,cosine_distance,0.4519524617996604,0.6067014787515639,250,,,,,,,
l2_L4,4,l2_distance,0.5,0.6410544385740962,250,,,,,,,
relative_norm_L4,4,relative_norm_difference,0.5,0.6410544385740962,250,,,,,,,
cosine_L5,5,cosine_distance,0.4903904923599321,0.6275116683623101,250,,,,,,,
l2_L5,5,l2_distance,0.5,0.6410544385740962,250,,,,,,,
relative_norm_L5,5,relative_norm_difference,0.5,0.6410544385740962,250,,,,,,,
cosine_L6,6,cosine_distance,0.57276740237691,0.6767763261282688,250,,,,,,,
l2_L6,6,l2_distance,0.5,0.6410544385740962,250,,,,,,,
relative_norm_L6,6,relative_norm_difference,0.5,0.6410544385740962,250,,,,,,,
cosine_L7,7,cosine_distance,0.5396264855687606,0.6649728125427754,250,,,,,,,
l2_L7,7,l2_distance,0.5,0.6410544385740962,250,,,,,,,
relative_norm_L7,7,relative_norm_difference,0.5,0.6410544385740962,250,,,,,,,
