sample_id,answer_changed,transition_group,stable_correct,broken,repaired,stable_wrong,stable_wrong_same,stable_wrong_different,gold_answer,baseline_answer,swap_answer,clean_numeric_trace,swap_numeric_trace,clean_numeric_count,swap_numeric_count,numeric_trace_edit_distance,numeric_trace_edit_distance_normalized,first_numeric_divergence_index,shared_numeric_prefix_length
mgsm_0000,False,stable_correct,True,False,False,False,False,False,18,18,18,"[""16"", ""3"", ""4"", ""16"", ""3"", ""4"", ""9"", ""2"", ""9"", ""2"", ""18"", ""18"", ""18""]","[""1"", ""16"", ""1"", ""16"", ""2"", ""16"", ""3"", ""4"", ""9"", ""3"", ""2"", ""9"", ""2"", ""18"", ""18""]",13,15,6,0.4,0,0
mgsm_0001,True,broken,False,True,False,False,False,False,3,3,6,"[""2"", ""2"", ""2"", ""2"", ""1"", ""2"", ""1"", ""2"", ""1"", ""3"", ""3"", ""3"", ""1"", ""2"", ""2"", ""1"", ""2"", ""2"", ""1"", ""3""]","[""1"", ""2"", ""2"", ""2"", ""2"", ""4"", ""2"", ""1"", ""2"", ""2"", ""4"", ""6"", ""6""]",20,13,12,0.6,0,0
mgsm_0002,True,stable_wrong,False,False,False,True,False,True,70000,110000,4,"[""150"", ""2.5"", ""100"", ""150"", ""250"", ""3"", ""80000"", ""3"", ""240000"", ""80000"", ""50000"", ""240000"", ""80000"", ""50000"", ""110000"", ""110000"", ""110000"", ""1""]","[""1"", ""80000"", ""50000"", ""2"", ""80000"", ""50000"", ""150"", ""3"", ""4"", ""1"", ""80000"", ""50000"", ""130000"", ""2"", ""130000"", ""150"", ""130000"", ""1.5"", ""195000"", ""3"", ""80000"", ""195000"", ""275000"", ""4""]",18,24,21,0.875,0,0
mgsm_0003,True,broken,False,True,False,False,False,False,540,540,180,"[""60"", ""60"", ""3"", ""180"", ""3"", ""180"", ""3"", ""540"", ""540"", ""540""]","[""60"", ""60"", ""3"", ""3"", ""60"", ""180"", ""180"", ""180""]",10,8,6,0.6,3,3
mgsm_0004,True,stable_wrong,False,False,False,True,False,True,20,0,3,"[""3"", ""3"", ""3"", ""3"", ""9"", ""15"", ""25"", ""15"", ""25"", ""40"", ""9"", ""40"", ""9"", ""40"", ""9"", ""9"", ""31"", ""-22"", ""0""]","[""1"", ""3"", ""3"", ""3"", ""3"", ""2"", ""15"", ""25"", ""15"", ""25"", ""3"", ""4"", ""3""]",19,13,12,0.631578947368421,0,0
mgsm_0005,True,stable_wrong,False,False,False,True,False,True,64,208,70,"[""5"", ""2"", ""10"", ""5"", ""0.6"", ""3"", ""10"", ""3"", ""13"", ""13"", ""16"", ""208"", ""208""]","[""1"", ""5"", ""2"", ""5"", ""60"", ""5"", ""60"", ""5"", ""0.6"", ""3"", ""5"", ""3"", ""2"", ""3"", ""16"", ""2"", ""14"", ""5"", ""2"", ""2"", ""2"", ""4"", ""14"", ""14"", ""5"", ""70"", ""4"", ""70""]",13,28,21,0.75,0,0
mgsm_0006,False,stable_correct,True,False,False,False,False,False,260,260,260,"[""1"", ""4"", ""2"", ""2"", ""4"", ""8"", ""20"", ""4"", ""20"", ""80"", ""8"", ""20"", ""160"", ""20"", ""80"", ""160"", ""260"", ""260""]","[""1"", ""20"", ""4"", ""20"", ""80"", ""2"", ""2"", ""80"", ""160"", ""3"", ""80"", ""160"", ""20"", ""260"", ""260""]",18,15,10,0.5555555555555556,1,1
mgsm_0007,True,stable_wrong,False,False,False,True,False,True,160,40,100,"[""2"", ""40"", ""200"", ""0.4"", ""80"", ""200"", ""80"", ""200"", ""80"", ""120"", ""20"", ""80"", ""120"", ""20"", ""20"", ""40"", ""40""]","[""1"", ""20"", ""40"", ""40/100"", ""20"", ""8"", ""2"", ""200"", ""2"", ""8"", ""100"", ""8"", ""92"", ""3"", ""92"", ""8"", ""100"", ""100"", ""100""]",17,19,17,0.8947368421052632,0,0
mgsm_0008,True,stable_wrong,False,False,False,True,False,True,45,432,180,"[""60"", ""3"", ""180"", ""30"", ""2"", ""60"", ""4"", ""2"", ""0.5"", ""80"", ""192"", ""180"", ""60"", ""192"", ""432"", ""4"", ""432"", ""432"", ""1"", ""60"", ""3"", ""60"", ""3"", ""180"", ""2"", ""2"", ""30"", ""2"", ""60"", ""3""]","[""1"", ""60"", ""3"", ""180"", ""2"", ""2"", ""30"", ""30"", ""2"", ""60"", ""3"", ""4"", ""2"", ""0.5"", ""2"", ""0.5"", ""2.5"", ""4"", ""80"", ""2.5"", ""200"", ""5"", ""180""]",30,23,24,0.8,0,0
mgsm_0009,False,stable_correct,True,False,False,False,False,False,460,460,460,"[""40"", ""10"", ""40"", ""40"", ""10"", ""400"", ""45"", ""40"", ""5"", ""1.2"", ""5"", ""10"", ""1.2"", ""5"", ""12"", ""60"", ""400"", ""60"", ""460"", ""460"", ""460""]","[""40"", ""10"", ""10"", ""40"", ""400"", ""40"", ""45"", ""40"", ""5"", ""1.2"", ""10"", ""1.2"", ""12"", ""12"", ""5"", ""60"", ""400"", ""60"", ""460"", ""460""]",21,20,7,0.3333333333333333,2,2
