group,metric,n,mean,median,std,q25,q75,ci_low,ci_high
all,clean_numeric_count,250,20.376,21.0,6.099791292762486,16.0,25.0,19.5797,21.144099999999998
all,swap_numeric_count,250,18.432,18.0,6.239318261595406,14.0,23.0,17.663800000000002,19.176299999999998
all,numeric_trace_edit_distance,250,13.628,14.0,6.3935220730042035,9.0,18.0,12.844,14.448
all,numeric_trace_edit_distance_normalized,250,0.6001082372223849,0.6530100334448161,0.21251309062547066,0.46282051282051284,0.7596551724137931,0.5740401152455982,0.6240725472376408
all,shared_numeric_prefix_length,250,1.944,0.0,3.7818080714331113,0.0,2.0,1.4799,2.4122
answer_changed,clean_numeric_count,155,20.948387096774194,21.0,5.898264711118841,18.0,25.0,19.993387096774192,21.903387096774193
answer_changed,swap_numeric_count,155,20.26451612903226,20.0,6.382888467334086,16.0,24.5,19.27725806451613,21.26451612903226
answer_changed,numeric_trace_edit_distance,155,16.045161290322582,16.0,5.225240857536717,12.0,20.0,15.219193548387096,16.81983870967742
answer_changed,numeric_trace_edit_distance_normalized,155,0.6962241821061357,0.7142857142857143,0.14154383461181574,0.6091269841269842,0.8,0.6729667297554626,0.7165018013909789
answer_changed,shared_numeric_prefix_length,155,1.1161290322580646,0.0,2.1681125872598894,0.0,1.0,0.7933870967741936,1.4580645161290322
answer_unchanged,clean_numeric_count,95,19.442105263157895,19.0,6.335841628208359,13.5,24.0,18.13684210526316,20.79
answer_unchanged,swap_numeric_count,95,15.442105263157895,14.0,4.669310827715699,13.0,18.0,14.56842105263158,16.41078947368421
answer_unchanged,numeric_trace_edit_distance,95,9.68421052631579,9.0,6.180379314074943,5.5,15.0,8.452631578947368,10.884473684210525
answer_unchanged,numeric_trace_edit_distance_normalized,95,0.44328748504363397,0.45454545454545453,0.21614885333193745,0.3416666666666667,0.6005692599620494,0.3963986499425631,0.4850910870463766
answer_unchanged,shared_numeric_prefix_length,95,3.294736842105263,1.0,5.216328055965998,0.0,3.5,2.3786842105263157,4.390263157894736
stable_correct,clean_numeric_count,80,19.425,19.0,6.314089128210604,13.75,24.0,18.1234375,20.913125
stable_correct,swap_numeric_count,80,15.3875,14.0,4.656542287572332,12.75,18.0,14.4625,16.413125
stable_correct,numeric_trace_edit_distance,80,9.7375,9.0,6.118541544593073,6.0,14.25,8.311875,11.1753125
